nombre
AGUAS CHICAS
BIDONES DE AGUA
AGUAS SABORIZADAS 1.5L
AGUAS SABORIZADAS 500ML
GASEOSAS
JUGOS
CERVEZAS EN CAJÓN

CERVEZAS EN LATA
CERVEZAS NO RETORNABLES
CERVEZAS EN PORRON
CHAMPAGNES / ESPUMANTES
LICORES Y APERITIVOS NACIONALES
RON
TEQUILA
VODKA & VODKA SABORIZADO
WHISKY
LICORES IMPORTADOS
GIN & GIN TONIC
VINOS TINTOS (MALBEC)
TINTO CABERNET
BLANCOS / DULCES / VARIOS
VINOS TINTOS & BLENDS
TINTO BLEND
TINTO CABERNET - MALBEC & OTROS
AMARGOS Y APERITIVOS
FERNET Y APERITIVOS
APERITIVOS GASIFICADOS (DR LEMON/GANCIA)
LIMPIEZA, PERFUMERÍA Y VARIOS
